order-id,Merchant SKU,,,,,
20xT460_CB,87138_20FN002SUS,,,,,
rev70907,87669-80VE000DUS,,,,,
rev70907,88419_LC5-00015,,,,,
rev70907,88882_1KC80US#ABA,,,,,
rev70907,87113_W2K26UAR#ABA,,,,,
rev70907,X7U11UA#ABA_15-bk127cl,,,,,
rev70907,86842_W0P57AAR#ABA-WPHS,,,,,
rev70907,msft-i7559-5012GRY_16GB,,,,,
rev70907,85694_LX-WX50,,,,,
rev70907,20EV002FUS_8GBupgraded_cref,,,,,
rev70907,85108_QF9-00097-BP,,,,,
rev70907,85640_G752VL-UH71T,,,,,
rev70907,20FL000KUS-New,,,,,
rev70907,81199_20EV002FUS-12GB-2,,,,,
rev70907,88291_LC5-00015,,,,,
rev70907,dp_N1R85UAT#ABA,,,,,
rev70907,dp-80KE000FUS,,,,,
rev70907,88153_I15-755971T16TUV-PON,,,,,
rev70907,88321_7GM-00015_128,,,,,
rev70907,88420_7GM-00015,,,,,
rev70907,20EV002FUS_8GBupgraded,,,,,
rev70907,Envy15x360-cRef,,,,,
rev70907,dp-80KE000GUS,,,,,
rev70907,dp_Y9F95UT#ABA,,,,,
rev70907,87334_W0U97AAR#ABA-WNQN,,,,,
rev70907,pcm-20F60097US,,,,,
rev70907,89171_V8G94UT#ABA,"HP EliteBook Folio G1 Business Laptop: 12.5"" (1920x1080) TOUCHSCREEN | Intel Core M5-6Y54 | 256GB Opal2 SSD | 8GB RAM | Backlit keyboard | Windows 10 Professional",1,B0741SBKM9,HP-084,X001H9QG8T